"","CCC","lower.ci","upper.ci"
"original_shape_Elongation",0.999378935271114,0.998714848020578,0.999699914725644
"original_shape_Flatness",0.999787805999904,0.999428333498147,0.999921245684782
"original_shape_LeastAxisLength",0.999622775213113,0.999166762613865,0.999829243405773
"original_shape_MajorAxisLength",0.999994646123236,0.999985690002924,0.999997996930683
"original_shape_Maximum2DDiameterColumn",0.999749703307081,0.999297957860803,0.999910775545229
"original_shape_Maximum2DDiameterRow",0.999545372634626,0.998844656567711,0.999821142267875
"original_shape_Maximum2DDiameterSlice",0.999990954305959,0.99998421941252,0.999994814865848
"original_shape_Maximum3DDiameter",0.999994351876833,0.999986887837909,0.999997567050551
"original_shape_MeshVolume",0.999995054108269,0.999987288061156,0.999998075684025
"original_shape_MinorAxisLength",0.999985087758476,0.999963021784606,0.999993986365193
"original_shape_Sphericity",0.998339518898493,0.995445763539317,0.999395143565152
"original_shape_SurfaceArea",0.999986599997737,0.999965582314854,0.999994782946396
"original_shape_SurfaceVolumeRatio",0.999892356217674,0.999782184281171,0.999946804293741
"original_shape_VoxelVolume",0.999994922500375,0.99998728697757,0.999997972083864
"original_firstorder_10Percentile",0.76543188303331,0.605906456495283,0.865779955243105
"original_firstorder_90Percentile",0.74926482494866,0.565318107610779,0.862221397622022
"original_firstorder_Energy",0.997474598666885,0.993223964590869,0.999060050429345
"original_firstorder_Entropy",0.907511636439689,0.817626941337886,0.954211601347866
"original_firstorder_InterquartileRange",0.866188972973635,0.740101235394038,0.933445888149345
"original_firstorder_Kurtosis",0.271890932888821,0.092838671838893,0.433908997208784
"original_firstorder_Maximum",0.830129943616551,0.627909756930483,0.927353736366646
"original_firstorder_MeanAbsoluteDeviation",0.875503516397423,0.757968715097128,0.937975077842133
"original_firstorder_Mean",0.584534799988476,0.352977275818182,0.748619276562964
"original_firstorder_Median",0.535677711530356,0.298641156111348,0.710464483061331
"original_firstorder_Minimum",0.861401180102624,0.79604962987691,0.906897717250433
"original_firstorder_Range",0.859706160016436,0.688983754551019,0.940042677895937
"original_firstorder_RobustMeanAbsoluteDeviation",0.86193775944619,0.732181622580698,0.931320531582247
"original_firstorder_RootMeanSquared",0.605522820314465,0.379872781300213,0.763157245299059
"original_firstorder_Skewness",-0.0193145694824899,-0.272173732578581,0.23603975700304
"original_firstorder_TotalEnergy",0.972734144259731,0.944938221552105,0.986595023347188
"original_firstorder_Uniformity",0.861784015968583,0.751799917031174,0.925114606942977
"original_firstorder_Variance",0.79897524769941,0.637780987978804,0.893116510901111
"original_glcm_Autocorrelation",0.744729233332323,0.554219422245979,0.861098588631236
"original_glcm_ClusterProminence",0.635675228628347,0.414505190860008,0.785941721535045
"original_glcm_ClusterShade",0.796497400296264,0.601647450291435,0.901877500362298
"original_glcm_ClusterTendency",0.809576465018794,0.650549019778995,0.9005926325092
"original_glcm_Contrast",0.772412603502047,0.603604642603416,0.874938798202618
"original_glcm_Correlation",0.629063845978736,0.380681358478025,0.792781387215384
"original_glcm_DifferenceAverage",0.843972454193947,0.709497812462071,0.919142544200321
"original_glcm_DifferenceEntropy",0.851718560892905,0.724473675290161,0.922828379767053
"original_glcm_DifferenceVariance",0.774192220330216,0.604416175007286,0.876703531596052
"original_glcm_Id",0.821164807054153,0.677476886918475,0.904483082655512
"original_glcm_Idm",0.788490061139933,0.634085173266309,0.882428599408993
"original_glcm_Idmn",0.651794891802923,0.35407574372993,0.829561962256892
"original_glcm_Idn",0.617950853209765,0.324693159422407,0.8028153068158
"original_glcm_Imc1",0.911952432805985,0.855586893996663,0.946947068437252
"original_glcm_Imc2",0.908699146581588,0.823792964017849,0.953730827268065
"original_glcm_InverseVariance",0.792711483685906,0.640060451144215,0.885156259878685
"original_glcm_JointAverage",0.762572002263283,0.578970205725666,0.87257065680542
"original_glcm_JointEnergy",0.697173151775646,0.551346518878354,0.801661337637722
"original_glcm_JointEntropy",0.905376416944847,0.807464685884154,0.954742945536827
"original_glcm_MCC",0.113011077919835,-0.296430840133315,0.487361346519681
"original_glcm_MaximumProbability",0.703818580123464,0.544857412172423,0.813947868526519
"original_glcm_SumAverage",0.76257200226328,0.57897020572566,0.872570656805418
"original_glcm_SumEntropy",0.938489229123048,0.871943657337376,0.970989741549509
"original_glcm_SumSquares",0.798006838567214,0.636096917877953,0.89260737096719
"original_glrlm_GrayLevelNonUniformity",0.889562807003631,0.807891995223881,0.937709232202878
"original_glrlm_GrayLevelNonUniformityNormalized",0.865520615294378,0.756924199680695,0.927599843611412
"original_glrlm_GrayLevelVariance",0.80009222074319,0.639674944712961,0.893720602954152
"original_glrlm_HighGrayLevelRunEmphasis",0.752409426544137,0.567318092186054,0.865136020493951
"original_glrlm_LongRunEmphasis",0.710433178212462,0.534915622769633,0.827170743206037
"original_glrlm_LongRunHighGrayLevelEmphasis",0.736639456312005,0.54517751561487,0.85506363712618
"original_glrlm_LongRunLowGrayLevelEmphasis",0.602753128678984,0.350006937520059,0.773695103742007
"original_glrlm_LowGrayLevelRunEmphasis",0.575163647907518,0.330195657082073,0.747542999316566
"original_glrlm_RunEntropy",0.921704546408682,0.841251871689083,0.962220837609303
"original_glrlm_RunLengthNonUniformity",0.989960474485192,0.977822379593428,0.995470449388894
"original_glrlm_RunLengthNonUniformityNormalized",0.776040675843882,0.613940341127611,0.875335039641477
"original_glrlm_RunPercentage",0.758318247365758,0.591925161394702,0.862715320751269
"original_glrlm_RunVariance",0.700049859173623,0.522520971949395,0.819402175204093
"original_glrlm_ShortRunEmphasis",0.750859315477222,0.582679460490508,0.857370745767769
"original_glrlm_ShortRunHighGrayLevelEmphasis",0.755406923615311,0.571599039575952,0.867023811449607
"original_glrlm_ShortRunLowGrayLevelEmphasis",0.56114674464145,0.317241218730063,0.735421693403731
"original_glszm_GrayLevelNonUniformity",0.936932936882702,0.876052396256749,0.968413664350625
"original_glszm_GrayLevelNonUniformityNormalized",0.876548932968373,0.771585706473184,0.935046840469135
"original_glszm_GrayLevelVariance",0.805580260466191,0.647799682250437,0.897091765410594
"original_glszm_HighGrayLevelZoneEmphasis",0.753332460441941,0.568609193425232,0.865727365715207
"original_glszm_LargeAreaEmphasis",0.532200397120331,0.357894276916579,0.670665341927165
"original_glszm_LargeAreaHighGrayLevelEmphasis",0.670437415091179,0.423779192961014,0.82452365231833
"original_glszm_LargeAreaLowGrayLevelEmphasis",0.504356018536218,0.221039628140237,0.709170646196673
"original_glszm_LowGrayLevelZoneEmphasis",0.479157899213194,0.238364171444138,0.664451535095448
"original_glszm_SizeZoneNonUniformity",0.989624015537958,0.972347822685059,0.996127788155084
"original_glszm_SizeZoneNonUniformityNormalized",0.835458563954747,0.697970015868755,0.91354692003864
"original_glszm_SmallAreaEmphasis",0.800992293095844,0.650664245107412,0.890905795227614
"original_glszm_SmallAreaHighGrayLevelEmphasis",0.762593105914009,0.58204741824674,0.871482914220254
"original_glszm_SmallAreaLowGrayLevelEmphasis",0.467507643110961,0.22118313071068,0.657758465619268
"original_glszm_ZoneEntropy",0.927590736495496,0.851526350346887,0.965414561864922
"original_glszm_ZonePercentage",0.792036260081279,0.637946337070689,0.885144194841734
"original_glszm_ZoneVariance",0.45900391708667,0.291767889504519,0.599008645813977
"original_ngtdm_Busyness",0.878840614464764,0.726812641609602,0.948775161115278
"original_ngtdm_Coarseness",0.991885900862557,0.984145256415681,0.995855281952726
"original_ngtdm_Complexity",0.743677094981973,0.534682846325612,0.866941394159947
"original_ngtdm_Contrast",0.795004172928552,0.633764593466042,0.890034130031988
"original_ngtdm_Strength",0.90774932927069,0.816402099645327,0.954779179754085
"original_gldm_DependenceEntropy",0.943726715969987,0.881882267046415,0.973643953270108
"original_gldm_DependenceNonUniformity",0.994832898534844,0.986557453535284,0.998018928649071
"original_gldm_DependenceNonUniformityNormalized",0.880724700649398,0.766063779743219,0.94106153879744
"original_gldm_DependenceVariance",0.769451860998413,0.593221178770857,0.87530867548389
"original_gldm_GrayLevelNonUniformity",0.868503366376824,0.778464924728848,0.923521162759179
"original_gldm_GrayLevelVariance",0.798411880099231,0.637205631692327,0.89268215954844
"original_gldm_HighGrayLevelEmphasis",0.752658254733888,0.567676396183203,0.865291633291285
"original_gldm_LargeDependenceEmphasis",0.713777331542272,0.536469224757446,0.830733974045526
"original_gldm_LargeDependenceHighGrayLevelEmphasis",0.666376083006841,0.450065578484287,0.808820820066573
"original_gldm_LargeDependenceLowGrayLevelEmphasis",0.704041687229195,0.439085828364275,0.856336131392821
"original_gldm_LowGrayLevelEmphasis",0.6093938310688,0.364366910100862,0.775508011089511
"original_gldm_SmallDependenceEmphasis",0.818996434792082,0.674061098275874,0.903209599086444
"original_gldm_SmallDependenceHighGrayLevelEmphasis",0.769003763735021,0.591659662263881,0.875358000950383
"original_gldm_SmallDependenceLowGrayLevelEmphasis",0.57389188014318,0.320498424771712,0.750636326920034
"log.sigma.6.mm.3D_firstorder_10Percentile",0.425196083752333,0.0259508086686254,0.707459352710744
"log.sigma.6.mm.3D_firstorder_90Percentile",0.85323286855387,0.681363159456691,0.935930272769434
"log.sigma.6.mm.3D_firstorder_Energy",0.970964837998639,0.944117976990029,0.985013345981157
"log.sigma.6.mm.3D_firstorder_Entropy",0.759268801312425,0.471944270570494,0.900792029536062
"log.sigma.6.mm.3D_firstorder_InterquartileRange",0.721827743717682,0.463207529772025,0.867159884673628
"log.sigma.6.mm.3D_firstorder_Kurtosis",-0.0829017920483864,-0.394985554461906,0.246336153955223
"log.sigma.6.mm.3D_firstorder_Maximum",0.926934573925488,0.810472684229143,0.972903332916742
"log.sigma.6.mm.3D_firstorder_MeanAbsoluteDeviation",0.789271635569398,0.573501024828816,0.902636047258319
"log.sigma.6.mm.3D_firstorder_Mean",0.829379469507631,0.619358345979173,0.928627647069669
"log.sigma.6.mm.3D_firstorder_Median",0.837721067986964,0.647288290343496,0.929723533066666
"log.sigma.6.mm.3D_firstorder_Minimum",-0.0654011011504371,-0.419678299790941,0.306168695950812
"log.sigma.6.mm.3D_firstorder_Range",0.829239909048183,0.599124092259472,0.932811771431181
"log.sigma.6.mm.3D_firstorder_RobustMeanAbsoluteDeviation",0.75450001231409,0.525864939018614,0.881449654925897
"log.sigma.6.mm.3D_firstorder_RootMeanSquared",0.830757641215599,0.62258677852928,0.929122709897865
"log.sigma.6.mm.3D_firstorder_Skewness",0.353845967546193,-0.0187474221289907,0.640143235086299
"log.sigma.6.mm.3D_firstorder_TotalEnergy",0.998022629996116,0.995809040815621,0.999067587451147
"log.sigma.6.mm.3D_firstorder_Uniformity",0.606399592151764,0.208891578905853,0.831939241368907
"log.sigma.6.mm.3D_firstorder_Variance",0.834333544148854,0.660284475692489,0.923328641371104
"log.sigma.6.mm.3D_glcm_Autocorrelation",0.75846811158274,0.484139141448451,0.897033263534917
"log.sigma.6.mm.3D_glcm_ClusterProminence",0.673075759613454,0.35052300157682,0.852887274448239
"log.sigma.6.mm.3D_glcm_ClusterShade",0.314538821582398,0.05181099354871,0.536545495581505
"log.sigma.6.mm.3D_glcm_ClusterTendency",0.829791206025297,0.651878982428314,0.921120612114236
"log.sigma.6.mm.3D_glcm_Contrast",0.91486750963547,0.805686489718459,0.963927355171896
"log.sigma.6.mm.3D_glcm_Correlation",0.217831625350095,-0.186280929672429,0.558904628633596
"log.sigma.6.mm.3D_glcm_DifferenceAverage",0.919704909033335,0.814297733581759,0.96638988309809
"log.sigma.6.mm.3D_glcm_DifferenceEntropy",0.925034162372489,0.810178812830299,0.971488442551031
"log.sigma.6.mm.3D_glcm_DifferenceVariance",0.924926297387395,0.815486477420992,0.970508919583319
"log.sigma.6.mm.3D_glcm_Id",0.921215077518892,0.816866236490672,0.967180423016312
"log.sigma.6.mm.3D_glcm_Idm",0.920618379349114,0.815860033378039,0.966866526977964
"log.sigma.6.mm.3D_glcm_Idmn",0.158896930733846,-0.167770611598905,0.454122392946665
"log.sigma.6.mm.3D_glcm_Idn",0.355951552991573,-0.00450826576595341,0.634547856810792
"log.sigma.6.mm.3D_glcm_Imc1",0.325077533622685,-0.0788587127439378,0.637322171617242
"log.sigma.6.mm.3D_glcm_Imc2",0.306452203522962,-0.133482115990225,0.645493118615147
"log.sigma.6.mm.3D_glcm_InverseVariance",0.923523997793682,0.820628346087762,0.96841797692743
"log.sigma.6.mm.3D_glcm_JointAverage",0.76295837878095,0.467246831939904,0.90514290999355
"log.sigma.6.mm.3D_glcm_JointEnergy",0.659435033045232,0.279461207370837,0.860826940735534
"log.sigma.6.mm.3D_glcm_JointEntropy",0.836528941845951,0.616833491569469,0.935298851739637
"log.sigma.6.mm.3D_glcm_MCC",-0.00669763516114085,-0.351587228302041,0.3397927771491
"log.sigma.6.mm.3D_glcm_MaximumProbability",0.665380482789622,0.290260357718547,0.863250680309756
"log.sigma.6.mm.3D_glcm_SumAverage",0.76295837878095,0.467246831939904,0.90514290999355
"log.sigma.6.mm.3D_glcm_SumEntropy",0.815960581170957,0.573628586873691,0.926954334140639
"log.sigma.6.mm.3D_glcm_SumSquares",0.831686044831855,0.655563525889371,0.921994187879686
"log.sigma.6.mm.3D_glrlm_GrayLevelNonUniformity",0.89739988913296,0.791626046400138,0.950951213916667
"log.sigma.6.mm.3D_glrlm_GrayLevelNonUniformityNormalized",0.587388584286493,0.22287881669411,0.80779694111113
"log.sigma.6.mm.3D_glrlm_GrayLevelVariance",0.829425077050412,0.583843383434515,0.935945496583236
"log.sigma.6.mm.3D_glrlm_HighGrayLevelRunEmphasis",0.716374568837278,0.41176008694044,0.876991555814151
"log.sigma.6.mm.3D_glrlm_LongRunEmphasis",0.858727883660215,0.646548196671876,0.947588954519847
"log.sigma.6.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",0.0777521922361843,-0.359192936388354,0.486738927153954
"log.sigma.6.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",0.29876822890146,-0.197093701973362,0.672908811815137
"log.sigma.6.mm.3D_glrlm_LowGrayLevelRunEmphasis",0.371211821168917,-0.127635799389837,0.720166832144436
"log.sigma.6.mm.3D_glrlm_RunEntropy",0.663813847119853,0.353632709079674,0.842467061019653
"log.sigma.6.mm.3D_glrlm_RunLengthNonUniformity",0.845227054129364,0.72057219951071,0.916956431665446
"log.sigma.6.mm.3D_glrlm_RunLengthNonUniformityNormalized",0.857152769116614,0.686258802979258,0.938363730269711
"log.sigma.6.mm.3D_glrlm_RunPercentage",0.900094245003992,0.765742773229385,0.959173876194665
"log.sigma.6.mm.3D_glrlm_RunVariance",0.802474728025021,0.526572869788553,0.925440750931444
"log.sigma.6.mm.3D_glrlm_ShortRunEmphasis",0.896524697018534,0.768397215018257,0.955551039524164
"log.sigma.6.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",0.792178314768441,0.524795012262616,0.917275475835311
"log.sigma.6.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",0.375069400241365,-0.119533300410631,0.720520412360157
"log.sigma.6.mm.3D_glszm_GrayLevelNonUniformity",0.686814852022667,0.510462657492788,0.807724521511673
"log.sigma.6.mm.3D_glszm_GrayLevelNonUniformityNormalized",0.485826527069322,0.0980896659876348,0.74550530548707
"log.sigma.6.mm.3D_glszm_GrayLevelVariance",0.736528674797097,0.492617283214222,0.873150635986286
"log.sigma.6.mm.3D_glszm_HighGrayLevelZoneEmphasis",0.458659687817857,0.0728704335324391,0.725056778729218
"log.sigma.6.mm.3D_glszm_LargeAreaEmphasis",0.731372841022719,0.398023627620323,0.894109087663047
"log.sigma.6.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",0.667246289696043,0.327735866668949,0.85413241694855
"log.sigma.6.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",0.243669885817496,-0.124120302912435,0.552593747485317
"log.sigma.6.mm.3D_glszm_LowGrayLevelZoneEmphasis",0.196630160542958,-0.261632950074931,0.582547401533949
"log.sigma.6.mm.3D_glszm_SizeZoneNonUniformity",0.835338312443999,0.667854710393065,0.922302901233559
"log.sigma.6.mm.3D_glszm_SizeZoneNonUniformityNormalized",0.739828474040244,0.410233363184769,0.898486243593869
"log.sigma.6.mm.3D_glszm_SmallAreaEmphasis",0.79244271922443,0.506201957991386,0.92141487197306
"log.sigma.6.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",0.55378292334211,0.15439804715726,0.797606767936588
"log.sigma.6.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",0.0192739166700153,-0.430402148337244,0.461285292381055
"log.sigma.6.mm.3D_glszm_ZoneEntropy",0.932619395250956,0.823254262702021,0.975231853294633
"log.sigma.6.mm.3D_glszm_ZonePercentage",0.843393254673164,0.632888482388798,0.937791392779197
"log.sigma.6.mm.3D_glszm_ZoneVariance",0.724273561491004,0.374330965157551,0.893637624567558
"log.sigma.6.mm.3D_ngtdm_Busyness",-0.00402187572164199,-0.119532378752494,0.111596054032946
"log.sigma.6.mm.3D_ngtdm_Coarseness",0.850412860261668,0.699315748649317,0.928764916448136
"log.sigma.6.mm.3D_ngtdm_Complexity",0.75019691276348,0.516106376077904,0.88000567405425
"log.sigma.6.mm.3D_ngtdm_Contrast",0.330270691891661,-0.0504325913347394,0.627171220014133
"log.sigma.6.mm.3D_ngtdm_Strength",-0.0150040889243046,-0.309035216988504,0.281645064377668
"log.sigma.6.mm.3D_gldm_DependenceEntropy",0.818556024051359,0.568717834465029,0.9301127809736
"log.sigma.6.mm.3D_gldm_DependenceNonUniformity",0.956908128037179,0.884942875054337,0.984237389228267
"log.sigma.6.mm.3D_gldm_DependenceNonUniformityNormalized",0.8680351700647,0.666379406869092,0.951358778345412
"log.sigma.6.mm.3D_gldm_DependenceVariance",0.911263138167785,0.76996187687385,0.967369982877049
"log.sigma.6.mm.3D_gldm_GrayLevelNonUniformity",0.805460705619104,0.557681269377531,0.921438746856689
"log.sigma.6.mm.3D_gldm_GrayLevelVariance",0.836099731000933,0.660098258756248,0.925080296099347
"log.sigma.6.mm.3D_gldm_HighGrayLevelEmphasis",0.754869196683801,0.477600197890564,0.89539328826363
"log.sigma.6.mm.3D_gldm_LargeDependenceEmphasis",0.899532460972829,0.760526442954053,0.959697488294719
"log.sigma.6.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis",0.680810608311318,0.371490302968749,0.854094407073202
"log.sigma.6.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",0.236033902947488,-0.26977064527637,0.639753359251948
"log.sigma.6.mm.3D_gldm_LowGrayLevelEmphasis",0.227026465261202,-0.279029785536686,0.634392968671372
"log.sigma.6.mm.3D_gldm_SmallDependenceEmphasis",0.895109204176986,0.770423571040931,0.953842142846399
"log.sigma.6.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",0.78737840970003,0.519964032068791,0.914230009648099
"log.sigma.6.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis",0.10788991919695,-0.387660269124022,0.555061069523282
"wavelet.LH_firstorder_10Percentile",0.839706671884426,0.696151003133091,0.918689769536019
"wavelet.LH_firstorder_90Percentile",0.833037421347303,0.688491834114999,0.913930113674394
"wavelet.LH_firstorder_Energy",0.984461351573514,0.969273548421856,0.992171805304055
"wavelet.LH_firstorder_Entropy",0.844014658026901,0.708992133211087,0.919345726219861
"wavelet.LH_firstorder_InterquartileRange",0.851577452347288,0.715567419350082,0.92537906434656
"wavelet.LH_firstorder_Kurtosis",0.888379478407652,0.763814256368063,0.949142807786388
"wavelet.LH_firstorder_Maximum",0.713080990582105,0.439274466209663,0.865664819371767
"wavelet.LH_firstorder_MeanAbsoluteDeviation",0.838642519430701,0.69505612230989,0.91789445701009
"wavelet.LH_firstorder_Mean",0.421607614529717,-0.0516392812416166,0.740224761077291
"wavelet.LH_firstorder_Median",0.892718138316017,0.779021159153499,0.949574414056456
"wavelet.LH_firstorder_Minimum",0.838094057316138,0.683720360335773,0.920669273009575
"wavelet.LH_firstorder_Range",0.816190110946407,0.64221112364674,0.910196091252765
"wavelet.LH_firstorder_RobustMeanAbsoluteDeviation",0.848111603533998,0.711836168354682,0.922845728255046
"wavelet.LH_firstorder_RootMeanSquared",0.738830294101166,0.536175520067717,0.86095533572445
"wavelet.LH_firstorder_Skewness",0.928831486064356,0.817140757789103,0.97330359499616
"wavelet.LH_firstorder_TotalEnergy",0.999823979108584,0.999643313124524,0.999913139679301
"wavelet.LH_firstorder_Uniformity",0.741953709224456,0.582372047220825,0.84647324054795
"wavelet.LH_firstorder_Variance",0.743113864291384,0.553514412207135,0.859482698523561
"wavelet.LH_glcm_Autocorrelation",0.74556220291185,0.561586372412065,0.859290984840542
"wavelet.LH_glcm_ClusterProminence",0.523718535602958,0.30426843709468,0.690380917724904
"wavelet.LH_glcm_ClusterShade",0.664602617844,0.464781309891851,0.800007369494799
"wavelet.LH_glcm_ClusterTendency",0.765830245253125,0.583473162150038,0.874669673397473
"wavelet.LH_glcm_Contrast",0.705201082922765,0.506449547412856,0.832799150449107
"wavelet.LH_glcm_Correlation",0.942793698328648,0.874872854143548,0.974350499718982
"wavelet.LH_glcm_DifferenceAverage",0.792819872764556,0.625667589091436,0.890366517868574
"wavelet.LH_glcm_DifferenceEntropy",0.80328683518521,0.646651881392541,0.894918382963362
"wavelet.LH_glcm_DifferenceVariance",0.699852976212013,0.499798567066806,0.829017657150678
"wavelet.LH_glcm_Id",0.748134057606184,0.567352353145508,0.860117886163917
"wavelet.LH_glcm_Idm",0.702730600178948,0.512272668171499,0.827307608927439
"wavelet.LH_glcm_Idmn",0.734912335097725,0.432357728211674,0.888731808335928
"wavelet.LH_glcm_Idn",0.723898270974222,0.418682777672505,0.882172537803542
"wavelet.LH_glcm_Imc1",0.896998544690289,0.800843104135196,0.948067729896078
"wavelet.LH_glcm_Imc2",0.856573464031875,0.71471817797594,0.930740815857884
